Moviename'; 'Userscore';Author'
inside-out-2015;8;TheQuietGamer
creep;9;TheQuietGamer
inside-out-2015;10;DanBurrito
the-man-from-uncle;8;imthenoob
tomorrowland;8;DanBurrito
vacation-2015;9;TheQuietGamer
tomorrowland;9;Violett
sicario;8;TheQuietGamer
me-and-earl-and-the-dying-girl;10;Compi24
we-are-still-here;8;TheQuietGamer
the-gift-2015;8;tjman09
inside-out-2015;10;hanneguacamole
insidious-chapter-3;9;TheQuietGamer
inside-out-2015;10;tjman09
sicario;8;homer4president
me-and-earl-and-the-dying-girl;8;Spangle
the-gift-2015;8;Spangle
sicario;8;EpicLadySponge
me-and-earl-and-the-dying-girl;9;BradySmith
insidious-chapter-3;8;Meth-dude
the-gift-2015;8;TheQuietGamer
me-and-earl-and-the-dying-girl;8;RvwFromUpHere
the-overnight;10;TheQuietGamer
inside-out-2015;8;Compi24
the-gift-2015;8;EpicLadySponge
insidious-chapter-3;8;Rutger-Kikkert
inside-out-2015;9;dharma
inside-out-2015;9;Spangle
pitch-perfect-2;8;TheQuietGamer
cinderella;9;TheQuietGamer
furious-7;8;tjman09
spectre;9;NikolayG
cinderella;9;csw12
cinderella;8;Spangle
citizenfour;8;mrnice
two-days-one-night;8;Spangle
two-days-one-night;9;EpicLadySponge
mad-max-fury-road;9;tjman09
hot-pursuit;8;TheQuietGamer
spectre;8;BarneyOnMT
cinderella;8;Futuredirector
furious-7;8;dharma
what-we-do-in-the-shadows;8;Jacob
inside-out-2015;10;csw12
joe-dirt;8;Ben
inside-out-2015;8;Trev29
suicide-squad;8;SonicHD7
uhf;10;RyanM.
furious-7;8;Compi24
the-divergent-series-insurgent;8;Tss5078
inside-out-2015;8;BradySmith
joe-dirt;8;TheQuietGamer
furious-7;9;TheQuietGamer
inside-out-2015;8;SEROJ
inside-out-2015;10;Violett
vanilla-sky;9;Khunter4382
maggie;8;TheQuietGamer
kill-me-three-times;8;Meth-dude
the-game;8;Spangle
it-follows;10;Spangle
mad-max-fury-road;9;MasterRiley
inside-out-2015;10;FreedomFighters
ex-machina;8;grandpajoe6191
ex-machina;9;BradySmith
get-hard;9;TheQuietGamer
mad-max-fury-road;8;DanBurrito
inside-out-2015;9;bfoore90
clouds-of-sils-maria;8;beingryanjude
mad-max-fury-road;10;Futuredirector
vanilla-sky;10;CarlosS
inside-out-2015;9;diogomendes
the-game;8;Compi24
clouds-of-sils-maria;8;Spangle
inside-out-2015;8;Viper8787
woman-in-gold;9;Eliasc
the-game;9;MovieManiac83
furious-7;9;Th3GreenHorne7
the-game;9;Broyax
ex-machina;8;beingryanjude
ex-machina;8;diogomendes
warcraft;9;abm0
mcfarland-usa;8;tjman09
the-lazarus-effect;8;Meth-dude
ex-machina;9;DanBurrito
spring;8;Meth-dude
mad-max-fury-road;8;Spangle
mcfarland-usa;8;BradySmith
inside-out-2015;10;homer4president
the-cobbler;8;TheQuietGamer
just-before-i-go;8;Meth-dude
zombeavers;8;TheQuietGamer
inside-out-2015;8;Th3GreenHorne7
leviathan-2014;9;EpicLadySponge
ex-machina;8;tjman09
love-rosie;8;aaronpaul121
winter-sleep;9;EpicLadySponge
selma;9;MovieGuys
love-rosie;8;BarneyOnMT
the-spongebob-movie-sponge-out-of-water;8;DanBurrito
paddington;8;DanBurrito
a-girl-walks-home-alone-at-night;9;TheQuietGamer
cake;8;beingryanjude
inherent-vice;8;Spangle
it-follows;9;tjman09
the-spongebob-movie-sponge-out-of-water;9;MasterRiley
paddington;8;Patrick94
big-eyes;8;Compi24
mr-turner;9;EpicLadySponge
paddington;10;FreedomFighters
mad-max-fury-road;10;moonman1994
inside-out-2015;9;Blanche
ex-machina;8;Tokyochuchu
big-eyes;8;beingryanjude
ex-machina;8;dharma
ex-machina;8;Spangle
selma;8;Jacob
paddington;10;Futuredirector
the-breakfast-club;10;cameronmorewood
unbroken;9;TheQuietGamer
it-follows;8;TheQuietGamer
the-breakfast-club;10;imthenoob
top-five;8;EpicLadySponge
inside-out-2015;10;Muskrat147
the-breakfast-club;8;Spangle
song-of-the-sea;9;Iky009
pride-2014;8;beingryanjude
mad-max-fury-road;9;Jacob
song-of-the-sea;8;DanBurrito
the-hobbit-the-battle-of-the-five-armies;8;DanBurrito
the-hobbit-the-battle-of-the-five-armies;8;Th3GreenHorne7
the-hobbit-the-battle-of-the-five-armies;8;potatoes351
song-of-the-sea;9;SEROJ
selma;9;Spangle
batman-v-superman-dawn-of-justice;8;imthenoob
unbroken;8;beingryanjude
it-follows;8;diogomendes
selma;9;EpicLadySponge
inherent-vice;8;Meth-dude
the-breakfast-club;9;moonman1994
the-breakfast-club;8;MovieGuys
mad-max-fury-road;9;CineAutoctono
the-breakfast-club;8;Viper8787
top-five;8;Spangle
the-breakfast-club;10;MasterRiley
the-babadook;8;TheQuietGamer
ex-machina;8;EpicLadySponge
foxcatcher;8;Compi24
into-the-woods;9;MovieGuys
