Moviename'; 'Userscore';Author'
finding-nemo;9;grandpajoe6191
cars;10;Rikiege
sophie-scholl-the-final-days;9;ArnoldP.
inside-man;8;CineAutoctono
cars;9;sil3nt_nick
hidden;10;MichaelD.
terminator-3-rise-of-the-machines;8;TheQuietGamer
the-lord-of-the-rings-the-return-of-the-king;8;MovieGuys
merry-christmas;10;vahn
merry-christmas;8;Spangle
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;CRL
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;Potter17
cars;9;FreedomFighters
finding-nemo;9;aaronpaul121
hulk;8;[Anonymous]
the-lord-of-the-rings-the-return-of-the-king;10;SkyrimGuy935
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;StevenF
cars;8;SythusRATINGS
who-killed-the-electric-car;8;kingshahid
mrs-doubtfire;9;Tss5078
28-days-later;10;AndrewS.
cars;8;homer4president
28-days-later;9;ChrisW.
pirates-of-the-caribbean-the-curse-of-the-black-pearl;10;oxana
mrs-doubtfire;10;beingryanjude
indiana-jones-and-the-temple-of-doom;8;Trev29
the-lord-of-the-rings-the-return-of-the-king;10;SythusRATINGS
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;imthenoob
mrs-doubtfire;9;sil3nt_nick
raiders-of-the-lost-ark;9;Compi24
indiana-jones-and-the-temple-of-doom;8;Official
raiders-of-the-lost-ark;10;Necromus
v-for-vendetta;9;[Anonymous]
raiders-of-the-lost-ark;9;Summersausage
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;Trev29
king-kong;9;AdamB
mrs-doubtfire;8;Compi24
indiana-jones-and-the-temple-of-doom;10;DibbHansen
raiders-of-the-lost-ark;9;Scorpion
indiana-jones-and-the-temple-of-doom;8;MovieGuys
mission-impossible-iii;9;SarahL.
mrs-doubtfire;10;Zilcell
little-man;8;Meth-dude
v-for-vendetta;10;Alex
the-italian-job;9;MovieGuys
raiders-of-the-lost-ark;10;MovieGuys
the-lord-of-the-rings-the-return-of-the-king;10;EddyGregs
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;moonman1994
mrs-doubtfire;8;MovieGuys
a-christmas-story;8;MovieGuys
gattaca;8;Spangle
28-days-later;10;TheQuietGamer
the-lord-of-the-rings-the-return-of-the-king;10;MovieManiac83
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;Spangle
the-italian-job;8;Meth-dude
28-days-later;8;juliankleiss
hulk;8;Spielberg00
mission-impossible-iii;8;Seamus
pirates-of-the-caribbean-the-curse-of-the-black-pearl;10;Garian
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;Rikiege
mrs-doubtfire;9;homer4president
hulk;10;Zilcell
finding-nemo;10;GeorgeB.
cronos;8;TheQuietGamer
indiana-jones-and-the-temple-of-doom;9;homer4president
cronos;9;Spangle
28-days-later;9;Halfwelshman
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;Rox22
mrs-doubtfire;8;MasterRiley
a-christmas-story;8;Tss5078
finding-nemo;9;Susano
the-lord-of-the-rings-the-return-of-the-king;10;reviewer2015lol
28-days-later;9;Potter17
finding-nemo;10;MetalMan95
raiders-of-the-lost-ark;9;SkyrimGuy935
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;SEROJ
wrong-turn;8;Meth-dude
raiders-of-the-lost-ark;10;diogomendes
v-for-vendetta;8;DavidH.
gattaca;9;Tokyochuchu
indiana-jones-and-the-temple-of-doom;8;EpicLadySponge
the-matrix-reloaded;9;Tss5078
finding-nemo;10;Judddy
the-lord-of-the-rings-the-return-of-the-king;9;EpicLadySponge
a-christmas-story;9;moonman1994
king-kong;8;Lucas
the-matrix-reloaded;9;oxana
finding-nemo;10;MovieLonely94
a-christmas-story;10;Compi24
2-fast-2-furious;10;TheChaser1985
pirates-of-the-caribbean-the-curse-of-the-black-pearl;10;JohnnyStephens
bend-it-like-beckham;9;[Anonymous]
raiders-of-the-lost-ark;9;homer4president
indiana-jones-and-the-temple-of-doom;9;MasterRiley
pirates-of-the-caribbean-the-curse-of-the-black-pearl;10;DibbHansen
a-christmas-story;8;EpicLadySponge
sleepless-in-seattle;8;MovieLonely94
the-italian-job;8;cameronmorewood
the-matrix-reloaded;9;Necromus
raiders-of-the-lost-ark;9;beingryanjude
finding-nemo;10;spadenx
pirates-of-the-caribbean-the-curse-of-the-black-pearl;10;MovieGuys
dreamcatcher;8;Meth-dude
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;cag11
28-days-later;8;Spangle
28-days-later;8;Compi24
finding-nemo;10;imthenoob
anger-management;10;EssenceOfSugar
gattaca;8;Compi24
raiders-of-the-lost-ark;9;EpicLadySponge
finding-nemo;8;beingryanjude
the-lord-of-the-rings-the-return-of-the-king;10;MasterRiley
finding-nemo;8;csw12
28-days-later;10;JohnnyStephens
finding-nemo;10;Trev29
anger-management;9;TheQuietGamer
holes;8;grandpajoe6191
finding-nemo;9;Official
v-for-vendetta;10;Eric
2-fast-2-furious;9;Zilcell
anger-management;8;imthenoob
finding-nemo;9;cameronmorewood
a-mighty-wind;8;ERG1008
finding-nemo;10;Compi24
28-days-later;8;MovieManiac83
finding-nemo;9;Rox22
raiders-of-the-lost-ark;10;MasterRiley
the-matrix-reloaded;9;SkyrimGuy935
raiders-of-the-lost-ark;9;Muskrat147
raiders-of-the-lost-ark;9;grandpajoe6191
finding-nemo;9;shprea
holes;8;MovieLonely94
finding-nemo;8;SEROJ
russian-ark;10;ryancarroll88
finding-nemo;9;sil3nt_nick
king-kong;10;RickS.
raiders-of-the-lost-ark;9;csw12
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;SythusRATINGS
confessions-of-a-dangerous-mind;8;Broyax
raiders-of-the-lost-ark;9;gm101
the-matrix-reloaded;8;EpicLadySponge
holes;9;CRL
holes;9;Zilcell
holes;8;spadenx
finding-nemo;10;cag11
cars;8;JohnH.
holes;10;Tss5078
finding-nemo;10;FreedomFighters
anger-management;8;UntoldAv3nGer
holes;8;cameronmorewood
raiders-of-the-lost-ark;10;Juanolo
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;homer4president
daddy-day-care;8;imthenoob
finding-nemo;8;RayzorMoose
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;MovieManiac83
a-man-apart;9;Matt
raiders-of-the-lost-ark;10;cameronmorewood
finding-nemo;9;FilmVirtue
wag-the-dog;8;Spangle
identity;8;cameronmorewood
v-for-vendetta;9;JohnH.
king-kong;8;[Anonymous]
jumanji;10;BobS.
twelve-monkeys;9;EssenceOfSugar
accepted;10;Andrew
raiders-of-the-lost-ark;8;MichaelD
finding-nemo;10;diogomendes
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;DanBurrito
brothers-of-the-head;10;DavidS.
jumanji;10;DibbHansen
finding-nemo;10;SythusRATINGS
holes;9;MasterRiley
pirates-of-the-caribbean-the-curse-of-the-black-pearl;8;EpicLadySponge
twelve-monkeys;9;BradySmith
49-up;9;DanC.
the-da-vinci-code;10;JohnnyStephens
jumanji;8;MovieLonely94
cars;10;PaulF.
twelve-monkeys;8;HighPriestesa
pirates-of-the-caribbean-dead-mans-chest;9;Seriously
raiders-of-the-lost-ark;8;MovieLonely94
finding-nemo;10;homer4president
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;Futuredirector
jumanji;8;JamesH.
the-oh-in-ohio;8;ChrisS.
raiders-of-the-lost-ark;8;Official
twelve-monkeys;10;OneWhoKnows
jumanji;9;Zilcell
twelve-monkeys;10;MovieGuys
identity;8;Spangle
raiders-of-the-lost-ark;9;SteveC.
the-lion-king;9;grandpajoe6191
jumanji;9;csw12
raiders-of-the-lost-ark;8;DevonC.
pirates-of-the-caribbean-the-curse-of-the-black-pearl;9;SonicHD7
beerfest;8;JasonB.
jumanji;9;Trev29
the-lord-of-the-rings-the-two-towers;10;rodericrinehart
pirates-of-the-caribbean-dead-mans-chest;10;Aaron
the-lion-king;10;cameronmorewood
the-lord-of-the-rings-the-two-towers;10;csw12
pirates-of-the-caribbean-dead-mans-chest;10;gm101
the-lion-king;10;csw12
jumanji;9;Violett
raiders-of-the-lost-ark;10;AndrewP.
the-lord-of-the-rings-the-two-towers;8;spadenx
miami-vice;8;ChrisD.
clerks-ii;9;MichaelB.
el-mariachi;8;TheWalrus2000
jumanji;9;homer4president
desperado;10;Dalek
the-promise;8;Violett
raiders-of-the-lost-ark;10;MikeM.
finding-nemo;9;CineAutoctono
v-for-vendetta;10;AdamP.
king-kong;9;DavidS.
the-lord-of-the-rings-the-two-towers;9;CursedKnight187
finding-nemo;10;DanBurrito
beerfest;8;imthenoob
the-lion-king;10;JohnM
twelve-monkeys;10;[Anonymous]
see-no-evil;8;JosephA
clerks-ii;10;[Anonymous]
the-lion-king;9;Potter17
raiders-of-the-lost-ark;8;JawsLaxerDrama
the-lord-of-the-rings-the-two-towers;8;grandpajoe6191
finding-nemo;10;EpicLadySponge
raiders-of-the-lost-ark;10;DibbHansen
v-for-vendetta;9;JimM.
twelve-monkeys;8;Spangle
finding-nemo;8;BarneyOnMT
you-me-and-dupree;8;Meth-dude
the-lion-king;9;YoursTruly
serpico;10;MarkG.
cars;10;DavidG.
miami-vice;8;AlexG.
the-lord-of-the-rings-the-two-towers;10;ObbiePR18
serpico;8;Tss5078
raiders-of-the-lost-ark;8;Tokyochuchu
finding-nemo;10;Futuredirector
raiders-of-the-lost-ark;8;DanBurrito
king-kong;10;TomR
the-lord-of-the-rings-the-two-towers;8;cameronmorewood
serpico;9;MovieGuys
the-lord-of-the-rings-the-two-towers;10;heyitsmegrif4
cars;10;DavidM.
a-scanner-darkly;9;JohnW.
finding-nemo;9;Muskrat147
the-lord-of-the-rings-the-two-towers;10;JawsPapi87
the-lord-of-the-rings-the-two-towers;8;gm101
finding-nemo;10;MasterRiley
the-lion-king;9;Eric
the-lord-of-the-rings-the-two-towers;10;MovieLonely94
bowling-for-columbine;9;StevenF
raiders-of-the-lost-ark;9;CineAutoctono
halloween-1978;9;MovieLonely94
the-lord-of-the-rings-the-two-towers;10;beingryanjude
the-lizzie-mcguire-movie;9;csw12
the-hunted;10;spadenx
chicago;10;JuanC.
the-lion-king;10;PatrickD.
the-lord-of-the-rings-the-two-towers;10;Trev29
house-of-1000-corpses;10;imthenoob
halloween-1978;10;Spielberg00
chicago;9;PaulF.
halloween-1978;8;beingryanjude
the-lion-king;10;AliceM.
cars;8;MichaelW.
halloween-1978;8;spadenx
the-lion-king;10;gm101
halloween-h20-20-years-later;9;MovieLonely94
chicago;8;Halfwelshman
the-lion-king;10;Judddy
chicago;8;Spielberg00
the-lion-king;10;MovieLonely94
spider;8;Spangle
the-quiet-american;8;Spangle
piglets-big-movie;10;heyitsmegrif4
the-lizzie-mcguire-movie;9;MasterRiley
event-horizon;8;TheQuietGamer
chicago;10;beingryanjude
piglets-big-movie;8;grandpajoe6191
chicago;10;Trev29
piglets-big-movie;10;MovieLonely94
the-lion-king;9;TheQuietGamer
halloween-h20-20-years-later;8;bfoore90
daredevil;8;roddersj04
chicago;8;Compi24
the-lion-king;10;TheCritic1
v-for-vendetta;8;DanC.
solaris;9;Tokyochuchu
the-lion-king;9;aaronpaul121
cars;9;AdamS
the-lord-of-the-rings-the-two-towers;10;DavidS.
house-of-1000-corpses;10;spadenx
halloween-1978;10;EssenceOfSugar
chicago;8;CineAutoctono
solaris;9;Spangle
v-for-vendetta;10;AnonymousMC
halloween-1978;10;imthenoob
the-lion-king;9;imthenoob
cars;10;MikeM.
the-lord-of-the-rings-the-two-towers;8;Jacob
halloween-1978;9;MovieGuys
the-da-vinci-code;10;[Anonymous]
the-lion-king;10;SEROJ
a-scanner-darkly;8;Alex
the-lion-king;10;MovieGuys
the-lord-of-the-rings-the-two-towers;10;Potter17
the-lord-of-the-rings-the-two-towers;10;StevenF
cold-comfort-farm;10;[Anonymous]
king-kong;9;Aaron
cars;8;Susano
the-lord-of-the-rings-the-two-towers;10;oxana
cars;10;gm101
cars;8;MovieLonely94
halloween-1978;8;grandpajoe6191
the-lion-king;9;EpicLadySponge
the-lion-king;10;Futuredirector
the-lord-of-the-rings-the-two-towers;10;imthenoob
cars;8;MichaelD
head-of-state;10;[Anonymous]
halloween-1978;10;cameronmorewood
miami-vice;9;Ryan
phone-booth;8;MovieGuys
the-lord-of-the-rings-the-two-towers;10;potatoes351
the-lord-of-the-rings-the-two-towers;10;Official
phone-booth;8;imthenoob
the-lord-of-the-rings-the-two-towers;9;Spangle
a-scanner-darkly;10;StevenF
all-the-little-animals;10;[Anonymous]
gangs-of-new-york;9;cameronmorewood
the-lord-of-the-rings-the-two-towers;10;Necromus
little-miss-sunshine;9;grandpajoe6191
little-miss-sunshine;9;Spielberg00
the-lord-of-the-rings-the-two-towers;8;Compi24
gabrielle;9;Enrique
the-illusionist;10;Violett
phone-booth;8;oxana
the-lord-of-the-rings-the-two-towers;9;shprea
phone-booth;9;Meth-dude
the-da-vinci-code;8;DaveW.
gangs-of-new-york;10;Tokyochuchu
pirates-of-the-caribbean-dead-mans-chest;8;Fantasy
the-lord-of-the-rings-the-two-towers;8;Scorpion
the-illusionist;8;Spangle
crank;8;MovieGuys
crank;8;kingshahid
gangs-of-new-york;10;lovemusic
halloween-1978;8;Spangle
halloween-1978;8;demolisher7778
the-lord-of-the-rings-the-two-towers;9;JohnnyStephens
the-lord-of-the-rings-the-two-towers;9;DibbHansen
the-hours;10;smijatov
invincible;9;RichardM.
the-lord-of-the-rings-the-two-towers;9;MovieGuys
the-lord-of-the-rings-the-two-towers;9;cag11
the-hours;10;beingryanjude
the-illusionist;9;PaulF.
the-lord-of-the-rings-the-two-towers;9;SkyrimGuy935
v-for-vendetta;9;Matt
the-hours;9;NandoP.
gangs-of-new-york;8;SEROJ
halloween-1978;10;MasterRiley
the-lord-of-the-rings-the-two-towers;10;SythusRATINGS
crank;8;NerijusD.
the-illusionist;9;Fantasy
the-illusionist;9;JohnL.
lady-in-the-water;8;[Anonymous]
gangs-of-new-york;8;MovieGuys
v-for-vendetta;9;RP
the-illusionist;10;AaronL.
gridiron-gang;9;CharlesL.
deliver-us-from-eva;9;AndrewS.
heaven;10;JohnM.
v-for-vendetta;10;JohnL.
the-illusionist;10;MichaelF.
idiocracy;8;JH
the-da-vinci-code;8;JohnF.
little-miss-sunshine;9;MichaelT.
blue-collar-comedy-tour-the-movie;8;TheQuietGamer
the-lord-of-the-rings-the-two-towers;10;homer4president
lady-in-the-water;10;[Anonymous]
the-lord-of-the-rings-the-two-towers;8;EddyGregs
they;10;SamS.
frida;10;[Anonymous]
the-lord-of-the-rings-the-two-towers;8;MovieManiac83
death-and-the-maiden;8;Broyax
v-for-vendetta;9;StevenF
about-schmidt;10;SimonS.
the-lord-of-the-rings-the-two-towers;9;EpicLadySponge
crank;10;MattB
a-bugs-life;8;grandpajoe6191
a-bugs-life;10;gm101
v-for-vendetta;8;imthenoob
the-illusionist;10;ArnoldP.
about-schmidt;8;Spangle
about-schmidt;8;Compi24
a-bugs-life;8;SythusRATINGS
miami-vice;8;Tokyochuchu
v-for-vendetta;8;beingryanjude
idiocracy;9;ErikJ
the-waterboy;8;TheQuietGamer
the-waterboy;8;cameronmorewood
terminator-2-judgment-day;10;Garian
the-lord-of-the-rings-the-two-towers;10;MasterRiley
miami-vice;8;oxana
the-illusionist;8;[Anonymous]
the-x-files;8;oxana
v-for-vendetta;9;Spangle
a-bugs-life;10;JackC
terminator-2-judgment-day;10;Juanolo
v-for-vendetta;8;Compi24
idiocracy;9;DavidM.
the-x-files;8;FilmVirtue
the-texas-chainsaw-massacre-the-beginning;8;Meth-dude
v-for-vendetta;9;worleyjamers
the-illusionist;10;SteveC.
v-for-vendetta;9;Rox22
the-illusionist;8;JohnF.
adaptation;9;ryancarroll88
terminator-2-judgment-day;9;TheQuietGamer
the-da-vinci-code;9;GeorgeB.
lady-in-the-water;10;BobS.
talk-to-her;10;ryancarroll88
pirates-of-the-caribbean-dead-mans-chest;9;DavidG.
a-bugs-life;8;Judddy
a-bugs-life;9;MovieLonely94
terminator-2-judgment-day;9;Iky009
little-miss-sunshine;10;Matt
the-pianist;10;beingryanjude
adaptation;10;MovieGuys
the-pianist;10;MovieGuys
liar-liar;8;StevenF
extreme-ops;10;Chris
catch-me-if-you-can;9;MovieGuys
liar-liar;9;csw12
the-emperors-club;8;[Anonymous]
terminator-2-judgment-day;9;Tokyochuchu
the-people-vs-larry-flynt;9;Halfwelshman
this-boys-life;8;SEROJ
private-parts;9;Tss5078
analyze-that;8;ERG1008
catch-me-if-you-can;10;Tss5078
the-pianist;10;Richard
a-bugs-life;9;Zilcell
the-hot-chick;8;SEROJ
equilibrium;8;Spangle
25th-hour;8;Spangle
liar-liar;8;kingshahid
catch-me-if-you-can;9;Iky009
a-bugs-life;8;heyitsmegrif4
the-people-vs-larry-flynt;9;MovieGuys
the-hunt-for-red-october;9;ovi_bz
a-bugs-life;8;beingryanjude
a-bugs-life;8;csw12
the-hunt-for-red-october;8;Spangle
king-kong;9;Potter17
the-hunt-for-red-october;8;Compi24
catch-me-if-you-can;9;beingryanjude
adaptation;9;BrianM
adaptation;10;BrandonS
the-pianist;9;Ridz43
little-miss-sunshine;8;RyanM.
a-bugs-life;9;Compi24
the-pianist;8;spadenx
king-kong;10;Zilcell
bloody-sunday;10;MichaelF.
adaptation;9;beingryanjude
terminator-2-judgment-day;9;grandpajoe6191
bloody-sunday;8;ryancarroll88
treasure-planet;8;MovieLonely94
the-pianist;9;Spangle
bloody-sunday;8;Compi24
the-pianist;9;Compi24
adaptation;8;Compi24
terminator-2-judgment-day;10;JS
lady-in-the-water;10;MichaelR.
a-bugs-life;10;FreedomFighters
bloody-sunday;9;EpicLadySponge
terminator-2-judgment-day;9;EpicLadySponge
equilibrium;8;JH
adaptation;9;Summersausage
the-pianist;8;Meth-dude
the-pianist;9;diogomendes
terminator-2-judgment-day;10;MovieLonely94
the-da-vinci-code;8;ArtM.
saw-iii;9;potatoes351
treasure-planet;8;Rox22
treasure-planet;9;homer4president
catch-me-if-you-can;8;Tokyochuchu
terminator-2-judgment-day;10;gm101
this-film-is-not-yet-rated;8;Compi24
catch-me-if-you-can;8;imthenoob
little-miss-sunshine;8;JoeP
catch-me-if-you-can;8;Spangle
the-pianist;10;Futuredirector
treasure-planet;8;EpicLadySponge
catch-me-if-you-can;8;Scorpion
the-pianist;8;Broyax
the-illusionist;10;Richard
a-bugs-life;8;EpicLadySponge
king-kong;10;Juanolo
unknown;8;Tss5078
the-illusionist;10;kingshahid
cocaine-cowboys;9;Enrique
terminator-2-judgment-day;9;ArkonBlade
king-kong;8;Official
the-guardian;10;Harrison
employee-of-the-month;9;TheQuietGamer
the-guardian;9;[Anonymous]
catch-me-if-you-can;8;EpicLadySponge
catch-me-if-you-can;8;BarneyOnMT
king-kong;10;cameronmorewood
punch-drunk-love;9;TheQuietGamer
king-kong;8;Compi24
equilibrium;10;EssenceOfSugar
terminator-2-judgment-day;10;Official
harry-potter-and-the-chamber-of-secrets;8;gm101
the-guardian;8;MichaelF.
king-kong;8;sil3nt_nick
harry-potter-and-the-chamber-of-secrets;8;Film_Fanatic_15
king-kong;8;Scorpion
terminator-2-judgment-day;8;Spangle
ran;10;Spangle
cube;8;grandpajoe6191
punch-drunk-love;8;cameronmorewood
ran;9;EpicLadySponge
jesus-camp;10;[Anonymous]
terminator-2-judgment-day;9;irmaod
the-da-vinci-code;8;PaulF.
king-kong;10;Meth-dude
harry-potter-and-the-chamber-of-secrets;8;MovieLonely94
harry-potter-and-the-chamber-of-secrets;10;cameronmorewood
spirited-away;10;SamS.
jesus-camp;8;CurtisS.
secretary;8;Tokyochuchu
punch-drunk-love;8;EpicLadySponge
the-wild-thornberrys-movie;9;MovieLonely94
secretary;8;Halfwelshman
the-da-vinci-code;8;Bill
the-wild-thornberrys-movie;8;EpicLadySponge
far-from-heaven;10;smijatov
the-prince-of-egypt;8;Jacob
harry-potter-and-the-chamber-of-secrets;8;heyitsmegrif4
king-kong;9;homer4president
terminator-2-judgment-day;8;diogomendes
red-dragon;8;JohnnyStephens
far-from-heaven;10;beingryanjude
the-prince-of-egypt;9;grandpajoe6191
the-prince-of-egypt;10;MovieLonely94
king-kong;8;CineAutoctono
saw-iii;8;Eric
ghost-ship;8;Meth-dude
red-dragon;8;Spangle
the-prince-of-egypt;8;MichaelD
terminator-2-judgment-day;10;SkyrimGuy935
open-season;9;[Anonymous]
king-kong;8;EpicLadySponge
far-from-heaven;8;Spangle
the-marine;10;JonathanS
spirited-away;10;Violett
cube;8;Broyax
who-framed-roger-rabbit;10;EssenceOfSugar
who-framed-roger-rabbit;10;Candy-Floss
equilibrium;9;AndyW.
terminator-2-judgment-day;9;MovieManiac83
jackass-the-movie;9;csw12
femme-fatale;8;Spangle
who-framed-roger-rabbit;10;DibbHansen
open-season;8;Zilcell
jackass-the-movie;8;TheQuietGamer
spirited-away;9;grandpajoe6191
harry-potter-and-the-chamber-of-secrets;8;TheQuietGamer
harry-potter-and-the-chamber-of-secrets;8;Tokyochuchu
terminator-2-judgment-day;9;Futuredirector
the-marine;8;TheQuietGamer
jackass-the-movie;10;ChrisD.
who-framed-roger-rabbit;9;[Anonymous]
spirited-away;10;heyitsmegrif4
who-framed-roger-rabbit;9;JB
who-framed-roger-rabbit;10;1966Zodiac
pirates-of-the-caribbean-dead-mans-chest;8;DavidW.
flyboys;10;SteveC.
little-miss-sunshine;10;AaronL.
harry-potter-and-the-chamber-of-secrets;8;Hasriona
who-framed-roger-rabbit;8;Spangle
army-of-darkness;10;ArkonBlade
who-framed-roger-rabbit;9;Rox22
harry-potter-and-the-chamber-of-secrets;8;Potter17
pirates-of-the-caribbean-dead-mans-chest;10;John
who-framed-roger-rabbit;8;MovieGuys
harry-potter-and-the-chamber-of-secrets;10;Zilcell
the-science-of-sleep;9;WillR
who-framed-roger-rabbit;9;homer4president
the-science-of-sleep;10;MikeM.
8-mile;9;ExKing
who-framed-roger-rabbit;9;EpicLadySponge
8-mile;9;TheGorilla
spirited-away;10;GagaForGhibli
baseketball;8;TheQuietGamer
8-mile;9;lovemusic
riding-alone-for-thousands-of-miles;10;[Anonymous]
army-of-darkness;10;[Anonymous]
harry-potter-and-the-chamber-of-secrets;9;csw12
baseketball;8;cag11
facing-the-giants;10;JohnH.
harry-potter-and-the-chamber-of-secrets;9;Trev29
8-mile;8;Spangle
three-colors-blue;9;Spangle
8-mile;9;cameronmorewood
the-da-vinci-code;8;Tss5078
lady-in-the-water;8;PaulD.
harry-potter-and-the-chamber-of-secrets;8;Official
the-da-vinci-code;8;csw12
8-mile;8;sil3nt_nick
mousehunt;8;MovieManiac83
road-to-perdition;8;Spangle
8-mile;8;EpicLadySponge
road-to-perdition;10;Compi24
harry-potter-and-the-chamber-of-secrets;10;SEROJ
the-ring;10;cameronmorewood
spirited-away;10;TaylorH
little-miss-sunshine;10;AnonymousMC
the-grudge-2;10;[Anonymous]
road-to-perdition;8;StevenF
the-return;10;[Anonymous]
road-to-perdition;8;Doehl
the-science-of-sleep;8;Enrique
requiem;8;smijatov
road-to-perdition;8;RayzorMoose
harry-potter-and-the-chamber-of-secrets;10;DibbHansen
stranger-than-fiction;9;JamesH.
road-to-perdition;10;EddyGregs
spirited-away;10;Tubie
road-to-perdition;10;MovieManiac83
little-miss-sunshine;10;[Anonymous]
the-science-of-sleep;9;[Anonymous]
spirited-away;10;MovieLonely94
stranger-than-fiction;10;John
the-ring;8;SuperTakashii
spirited-away;10;YoursTruly
lets-go-to-prison;10;AlexD.
little-miss-sunshine;8;DanC.
harry-potter-and-the-chamber-of-secrets;8;SythusRATINGS
the-grudge-2;9;supermann234
stranger-than-fiction;8;BobE.
fast-food-nation;9;Enrique
road-to-perdition;8;SEROJ
lets-go-to-prison;9;TheQuietGamer
harry-potter-and-the-chamber-of-secrets;8;homer4president
little-miss-sunshine;10;PaulF.
the-holiday;8;CurtisS.
lady-in-the-water;10;DavidP.
spy-kids-2-island-of-lost-dreams;8;MovieLonely94
the-rules-of-attraction;9;JohnF.
the-ring;8;Spangle
little-miss-sunshine;10;JimC.
harry-potter-and-the-chamber-of-secrets;9;Rutger-Kikkert
stranger-than-fiction;9;worleyjamers
stranger-than-fiction;8;StevenF
harry-potter-and-the-chamber-of-secrets;9;EpicLadySponge
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan;9;EpicLadySponge
flags-of-our-fathers;8;TonyL
spy-kids-2-island-of-lost-dreams;8;MasterRiley
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan;8;grandpajoe6191
formula-51;8;MichaelB.
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan;10;Paxster
shortbus;10;[Anonymous]
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan;8;Compi24
harry-potter-and-the-chamber-of-secrets;9;SonicHD7
flags-of-our-fathers;9;RyanM.
curse-of-the-golden-flower;9;MarkM.
delicatessen;8;ERG1008
atanarjuat-the-fast-runner;9;ryancarroll88
the-holiday;8;beingryanjude
igby-goes-down;8;EpicLadySponge
atanarjuat-the-fast-runner;9;EpicLadySponge
my-big-fat-greek-wedding;8;Spangle
flags-of-our-fathers;8;Compi24
24-hour-party-people;10;Necromus
the-bourne-identity;10;sinadoom
free-willy;9;MovieLonely94
lady-in-the-water;10;SteveF
stranger-than-fiction;9;AlanG
24-hour-party-people;8;Spangle
candy;9;BrianM
free-willy;8;EpicLadySponge
the-pursuit-of-happyness;9;JS
free-willy;9;oxana
curse-of-the-golden-flower;8;[Anonymous]
stranger-than-fiction;9;AaronL.
the-bourne-identity;9;Juanolo
shortbus;10;Halfwelshman
stranger-than-fiction;9;JohnF.
about-a-boy;8;grandpajoe6191
children-of-men;9;rodericrinehart
charlottes-web;8;MovieLonely94
children-of-men;10;NF123
the-bourne-identity;9;DanC.
time-out;9;EpicLadySponge
stranger-than-fiction;9;[Anonymous]
pirates-of-the-caribbean-dead-mans-chest;9;oxana
charlottes-web;8;EpicLadySponge
children-of-men;8;Tokyochuchu
the-bourne-identity;8;ERG1008
pirates-of-the-caribbean-dead-mans-chest;8;Trev29
the-bourne-identity;8;Tokyochuchu
about-a-boy;8;StevenF
the-pursuit-of-happyness;8;JamieH.
the-bourne-identity;8;CRL
pretty-woman;8;beingryanjude
charlottes-web;8;[Anonymous]
the-bourne-identity;8;spadenx
signs;8;Dalek
the-good-girl;8;beingryanjude
pirates-of-the-caribbean-dead-mans-chest;10;Jack101
little-miss-sunshine;9;Potter17
pretty-woman;8;Compi24
signs;8;csw12
volver;10;MichaelB.
the-bourne-identity;8;imthenoob
stranger-than-fiction;8;Spielberg00
little-miss-sunshine;8;debjyotinsec
volver;10;GeorgeB.
stranger-than-fiction;8;Compi24
little-miss-sunshine;10;StevenF
signs;9;MovieLonely94
black-christmas;10;[Anonymous]
the-bourne-identity;9;Compi24
spirited-away;9;Paxster
little-miss-sunshine;8;beingryanjude
spirited-away;10;ryancarroll88
stranger-than-fiction;8;Spangle
back-to-the-future-part-iii;9;DibbHansen
charlottes-web;9;MarkR.
spirited-away;9;Judddy
back-to-the-future-part-iii;9;TheQuietGamer
back-to-the-future;10;Scorpion
the-bourne-identity;9;MovieGuys
signs;9;BradySmith
back-to-the-future;8;MovieGuys
the-bourne-identity;8;RayzorMoose
pirates-of-the-caribbean-dead-mans-chest;9;SEROJ
blood-work;8;[Anonymous]
back-to-the-future-part-ii;10;DibbHansen
spirited-away;9;KendylKlownfish
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan;8;BR.
little-miss-sunshine;8;Spangle
hey-arnold!-the-movie;8;Zilcell
the-bourne-identity;8;Meth-dude
spirited-away;9;aaronpaul121
